mosi,miso
0x4E,0x00
0x80,0x00
0x3E,0x00
0x00,0x00
0x0E,0x00
0x00,0x80
0x1D,0x00
0x00,0x81
0x0B,0x00
0x00,0x60
0x0D,0x00
0x00,0x2A
0x04,0x00
0x00,0xC0
0x31,0x00
0x00,0xCC
0x1C,0x00
0x00,0x40
0x2C,0x00
0x00,0x00
0x05,0x00
0x00,0x00
,
,
0x5F,0x00
0x00,0x00
0x1F,0x00
0x00,0x01
,
,
0x1F,0x00
0x00,0x03
,
,
0x1F,0x00
0x00,0x03
,
,
0x1F,0x00
0x00,0x03
,
,
0x1F,0x00
0x00,0x03
,
,
0x1F,0x00
0x00,0x03
,
,
0x1F,0x00
0x00,0x03
,
,
0x1F,0x00
0x00,0x03
,
,
0x1F,0x00
0x00,0x03
,
,
0x1F,0x00
0x00,0x03
,
,
0x1F,0x00
0x00,0x03
,
,
0x1F,0x00
0x00,0x03
,
,
0x1F,0x00
0x00,0x03
,
,
0x1F,0x00
0x00,0x03
,
,
0x1F,0x00
0x00,0x03
,
,
0x1F,0x00
0x00,0x03
,
,
0x1F,0x00
0x00,0x03
,
,
0x1F,0x00
0x00,0x03
,
,
0x1F,0x00
0x00,0x03
,
,
0x1F,0x00
0x00,0x03
,
,
0x1F,0x00
0x00,0x03
,
,
0x1F,0x00
0x00,0x03
,
,
0x1F,0x00
0x00,0x03
,
,
0x1F,0x00
0x00,0x03
,
,
0x1F,0x00
0x00,0x03
,
,
0x1F,0x00
0x00,0x03
,
,
0x1F,0x00
0x00,0x03
,
,
0x1F,0x00
0x00,0x03
,
,
0x1F,0x00
0x00,0x03
,
,
0x1F,0x00
0x00,0x03
,
,
0x1F,0x00
0x00,0x03
,
,
0x1F,0x00
0x00,0x03
,
,
0x1F,0x00
0x00,0x03
,
,
0x1F,0x00
0x00,0x03
,
,
0x1F,0x00
0x00,0x03
,
,
0x1F,0x00
0x00,0x03
,
,
0x1F,0x00
0x00,0x03
,
,
0x1F,0x00
0x00,0x03
,
,
0x1F,0x00
0x00,0x03
,
,
0x1F,0x00
0x00,0x03
,
,
0x1F,0x00
0x00,0x03
,
,
0x1F,0x00
0x00,0x03
,
,
0x1F,0x00
0x00,0x03
,
,
0x1F,0x00
0x00,0x03
,
,
0x1F,0x00
0x00,0x03
,
,
0x1F,0x00
0x00,0x03
,
,
0x1F,0x00
0x00,0x03
,
,
0x1F,0x00
0x00,0x03
,
,
0x1F,0x00
0x00,0x03
,
,
0x1F,0x00
0x00,0x03
,
,
0x1F,0x00
0x00,0x03
,
,
0x1F,0x00
0x00,0x03
,
,
0x1F,0x00
0x00,0x03
,
,
0x1F,0x00
0x00,0x03
,
,
0x1F,0x00
0x00,0x03
,
,
0x1F,0x00
0x00,0x03
,
,
0x1F,0x00
0x00,0x03
,
,
0x1F,0x00
0x00,0x03
,
,
0x1F,0x00
0x00,0x03
,
,
0x1F,0x00
0x00,0x03
,
,
0x1F,0x00
0x00,0x03
,
,
0x1F,0x00
0x00,0x03
,
,
0x1F,0x00
0x00,0x03
,
,
0x1F,0x00
0x00,0x1F
,
,
0x60,0x80
0x80,0x00
0x1F,0x80
0x00,0x9F
,
,
0x60,0x80
0x80,0x00
0x20,0x80
0x00,0xFF
,
,
0x60,0x80
0x81,0x00
0x20,0x80
0x00,0x01
,
,
0x60,0x80
0x82,0x00
0x20,0x80
0x00,0x00
,
,
0x60,0x80
0x83,0x00
0x20,0x80
0x00,0x02
,
,
0x60,0x80
0x84,0x00
0x20,0x80
0x00,0x42
,
,
0x60,0x80
0x85,0x00
0x20,0x80
0x00,0x43
,
,
0x60,0x80
0x86,0x00
0x20,0x80
0x00,0x12
,
,
0x60,0x80
0x87,0x00
0x20,0x80
0x00,0x00
,
,
0x60,0x80
0x88,0x00
0x20,0x80
0x00,0x00
,
,
0x60,0x80
0x89,0x00
0x20,0x80
0x00,0x0F
,
,
0x60,0x80
0x8A,0x00
0x20,0x80
0x00,0x4E
,
,
0x60,0x80
0x8B,0x00
0x20,0x80
0x00,0xAE
,
,
0x60,0x80
0x8C,0x00
0x20,0x80
0x00,0x03
,
,
0x60,0x80
0x8D,0x00
0x20,0x80
0x00,0x2A
,
,
0x60,0x80
0x8E,0x00
0x20,0x80
0x00,0x0A
,
,
0x60,0x80
0x8F,0x00
0x20,0x80
0x00,0x01
,
,
0x60,0x80
0x90,0x00
0x20,0x80
0x00,0x20
,
,
0x60,0x80
0x91,0x00
0x20,0x80
0x00,0x0B
,
,
0x60,0x80
0x92,0x00
0x20,0x80
0x00,0x12
,
,
0x60,0x80
0x93,0x00
0x20,0x80
0x00,0x0F
,
,
0x60,0x80
0x94,0x00
0x20,0x80
0x00,0x00
,
,
0x60,0x80
0x95,0x00
0x20,0x80
0x00,0x00
,
,
0x60,0x80
0x96,0x00
0x20,0x80
0x00,0x00
,
,
0x60,0x80
0x97,0x00
0x20,0x80
0x00,0x00
,
,
0x60,0x80
0x98,0x00
0x20,0x80
0x00,0x00
,
,
0x60,0x80
0x99,0x00
0x20,0x80
0x00,0x00
,
,
0x60,0x80
0x9A,0x00
0x20,0x80
0x00,0x00
,
,
0x60,0x80
0x9B,0x00
0x20,0x80
0x00,0x00
,
,
0x60,0x80
0x9C,0x00
0x20,0x80
0x00,0x00
,
,
0x60,0x80
0x9D,0x00
0x20,0x80
0x00,0x00
,
,
0x60,0x80
0x9E,0x00
0x20,0x80
0x00,0x00
,
,
0x60,0x80
0x9F,0x00
0x20,0x80
0x00,0x00
,
,
0x60,0x80
0xA0,0x00
0x20,0x80
0x00,0x00
,
,
0x60,0x80
0xA1,0x00
0x20,0x80
0x00,0x00
,
,
0x60,0x80
0xA2,0x00
0x20,0x80
0x00,0x00
,
,
0x60,0x80
0xA3,0x00
0x20,0x80
0x00,0x00
,
,
0x60,0x80
0xA4,0x00
0x20,0x80
0x00,0x00
,
,
0x60,0x80
0xA5,0x00
0x20,0x80
0x00,0x00
,
,
0x60,0x80
0xA6,0x00
0x20,0x80
0x00,0x00
,
,
0x60,0x80
0xA7,0x00
0x20,0x80
0x00,0x00
,
,
0x60,0x80
0xA8,0x00
0x20,0x80
0x00,0x00
,
,
0x60,0x80
0xA9,0x00
0x20,0x80
0x00,0x00
,
,
0x60,0x80
0xAA,0x00
0x20,0x80
0x00,0x00
,
,
0x60,0x80
0xAB,0x00
0x20,0x80
0x00,0x00
,
,
0x60,0x80
0xAC,0x00
0x20,0x80
0x00,0x00
,
,
0x60,0x80
0xAD,0x00
0x20,0x80
0x00,0x00
,
,
0x60,0x80
0xAE,0x00
0x20,0x80
0x00,0x00
,
,
0x60,0x80
0xAF,0x00
0x20,0x80
0x00,0x00
,
,
0x60,0x80
0xB0,0x00
0x20,0x80
0x00,0x00
,
,
0x60,0x80
0xB1,0x00
0x20,0x80
0x00,0x00
,
,
0x60,0x80
0xB2,0x00
0x20,0x80
0x00,0x00
,
,
0x60,0x80
0xB3,0x00
0x20,0x80
0x00,0x00
,
,
0x60,0x80
0xB4,0x00
0x20,0x80
0x00,0x00
,
,
0x60,0x80
0xB5,0x00
0x20,0x80
0x00,0x00
,
,
0x60,0x80
0xB6,0x00
0x20,0x80
0x00,0x00
,
,
0x60,0x80
0xB7,0x00
0x20,0x80
0x00,0x00
,
,
0x60,0x80
0xB8,0x00
0x20,0x80
0x00,0x00
,
,
0x60,0x80
0xB9,0x00
0x20,0x80
0x00,0x00
,
,
0x60,0x80
0xBA,0x00
0x20,0x80
0x00,0x00
,
,
0x60,0x80
0xBB,0x00
0x20,0x80
0x00,0x00
,
,
0x60,0x80
0xBC,0x00
0x20,0x80
0x00,0x00
,
,
0x60,0x80
0xBD,0x00
0x20,0x80
0x00,0x00
,
,
0x60,0x80
0xBE,0x00
0x20,0x80
0x00,0x00
,
,
0x60,0x80
0xBF,0x00
0x20,0x80
0x00,0x00
,
,
0x60,0x80
0xC0,0x00
0x20,0x80
0x00,0x00
,
,
0x60,0x80
0xC1,0x00
0x20,0x80
0x00,0x00
,
,
0x60,0x80
0xC2,0x00
0x20,0x80
0x00,0x00
,
,
0x60,0x80
0xC3,0x00
0x20,0x80
0x00,0x00
,
,
0x60,0x80
0xC4,0x00
0x20,0x80
0x00,0x00
,
,
0x60,0x80
0xC5,0x00
0x20,0x80
0x00,0x00
,
,
0x60,0x80
0xC6,0x00
0x20,0x80
0x00,0x00
,
,
0x60,0x80
0xC7,0x00
0x20,0x80
0x00,0x00
,
,
0x60,0x80
0xC8,0x00
0x20,0x80
0x00,0x00
,
,
0x60,0x80
0xC9,0x00
0x20,0x80
0x00,0x00
,
,
0x60,0x80
0xCA,0x00
0x20,0x80
0x00,0x00
,
,
0x60,0x80
0xCB,0x00
0x20,0x80
0x00,0x00
,
,
0x60,0x80
0xCC,0x00
0x20,0x80
0x00,0x00
,
,
0x60,0x80
0xCD,0x00
0x20,0x80
0x00,0x00
,
,
0x60,0x80
0xCE,0x00
0x20,0x80
0x00,0x00
,
,
0x60,0x80
0xCF,0x00
0x20,0x80
0x00,0x00
,
,
0x60,0x80
0xD0,0x00
0x20,0x80
0x00,0x00
,
,
0x60,0x80
0xD1,0x00
0x20,0x80
0x00,0x00
,
,
0x60,0x80
0xD2,0x00
0x20,0x80
0x00,0x00
,
,
0x60,0x80
0xD3,0x00
0x20,0x80
0x00,0x00
,
,
0x60,0x80
0xD4,0x00
0x20,0x80
0x00,0x00
,
,
0x60,0x80
0xD5,0x00
0x20,0x80
0x00,0x00
,
,
0x60,0x80
0xD6,0x00
0x20,0x80
0x00,0x00
,
,
0x60,0x80
0xD7,0x00
0x20,0x80
0x00,0x00
,
,
0x60,0x80
0xD8,0x00
0x20,0x80
0x00,0x00
,
,
0x60,0x80
0xD9,0x00
0x20,0x80
0x00,0x00
,
,
0x60,0x80
0xDA,0x00
0x20,0x80
0x00,0x00
,
,
0x60,0x80
0xDB,0x00
0x20,0x80
0x00,0x00
,
,
0x60,0x80
0xDC,0x00
0x20,0x80
0x00,0x00
,
,
0x60,0x80
0xDD,0x00
0x20,0x80
0x00,0x00
,
,
0x60,0x80
0xDE,0x00
0x20,0x80
0x00,0x00
,
,
0x60,0x80
0xDF,0x00
0x20,0x80
0x00,0x00
,
,
0x60,0x80
0xE0,0x00
0x20,0x80
0x00,0x00
,
,
0x60,0x80
0xE1,0x00
0x20,0x80
0x00,0x00
,
,
0x60,0x80
0xE2,0x00
0x20,0x80
0x00,0x00
,
,
0x60,0x80
0xE3,0x00
0x20,0x80
0x00,0x00
,
,
0x60,0x80
0xE4,0x00
0x20,0x80
0x00,0x00
,
,
0x60,0x80
0xE5,0x00
0x20,0x80
0x00,0x00
,
,
0x60,0x80
0xE6,0x00
0x20,0x80
0x00,0x00
,
,
0x60,0x80
0xE7,0x00
0x20,0x80
0x00,0x00
,
,
0x60,0x80
0xE8,0x00
0x20,0x80
0x00,0x00
,
,
0x60,0x80
0xE9,0x00
0x20,0x80
0x00,0x00
,
,
0x60,0x80
0xEA,0x00
0x20,0x80
0x00,0x00
,
,
0x60,0x80
0xEB,0x00
0x20,0x80
0x00,0x00
,
,
0x60,0x80
0xEC,0x00
0x20,0x80
0x00,0x00
,
,
0x60,0x80
0xED,0x00
0x20,0x80
0x00,0x00
,
,
0x60,0x80
0xEE,0x00
0x20,0x80
0x00,0x00
,
,
0x60,0x80
0xEF,0x00
0x20,0x80
0x00,0x00
,
,
0x60,0x80
0xF0,0x00
0x20,0x80
0x00,0x00
,
,
0x60,0x80
0xF1,0x00
0x20,0x80
0x00,0x00
,
,
0x60,0x80
0xF2,0x00
0x20,0x80
0x00,0x00
,
,
0x60,0x80
0xF3,0x00
0x20,0x80
0x00,0x00
,
,
0x60,0x80
0xF4,0x00
0x20,0x80
0x00,0x00
,
,
0x60,0x80
0xF5,0x00
0x20,0x80
0x00,0x00
,
,
0x60,0x80
0xF6,0x00
0x20,0x80
0x00,0x00
,
,
0x60,0x80
0xF7,0x00
0x20,0x80
0x00,0x00
,
,
0x60,0x80
0xF8,0x00
0x20,0x80
0x00,0x00
,
,
0x60,0x80
0xF9,0x00
0x20,0x80
0x00,0x00
,
,
0x60,0x80
0xFA,0x00
0x20,0x80
0x00,0x00
,
,
0x60,0x80
0xFB,0x00
0x20,0x80
0x00,0x00
,
,
0x60,0x80
0xFC,0x00
0x20,0x80
0x00,0x00
,
,
0x60,0x80
0xFD,0x00
0x20,0x80
0x00,0x00
,
,
0x60,0x80
0xFE,0x00
0x20,0x80
0x00,0x00
,
,
0x60,0x80
0xFF,0x00
0x20,0x80
0x00,0x00
,
,
0x60,0x80
0x00,0x00
,
,
0x4D,0x80
0xAA,0x00
,
,
0x44,0x80
0x00,0x00
0x45,0x80
0x00,0x00
0x5F,0x80
0x20,0x00
0x1F,0x80
